State,State Abbr,County,GEO id2,GEO display_label,Households,Poverty_Percentage,ALICE_Percentage,Below_ALICE_Threshold_Percentage,Above_ALICE_Percentage
Texas,TX,Bosque,48035.0,"Bosque County, Texas",7467,9.25,28.36,37.62,62.38
Texas,TX,Bowie,48037.0,"Bowie County, Texas",36110,14.42,33.69,48.11,51.89
Texas,TX,Brazoria,48039.0,"Brazoria County, Texas",138692,8.39,26.93,35.32,64.68
Texas,TX,Brazos,48041.0,"Brazos County, Texas",92216,23.4,27.61,51.02,48.98
Texas,TX,Brewster,48043.0,"Brewster County, Texas",4929,12.46,27.21,39.66,60.34
Texas,TX,Briscoe,48045.0,"Briscoe County, Texas",555,23.96,33.15,57.12,42.88
Texas,TX,Brooks,48047.0,"Brooks County, Texas",2884,36.1,28.71,64.81,35.19
Texas,TX,Brown,48049.0,"Brown County, Texas",14979,15.42,32.81,48.23,51.77
Texas,TX,Burleson,48051.0,"Burleson County, Texas",7749,12.21,25.23,37.44,62.56
Texas,TX,Burnet,48053.0,"Burnet County, Texas",19597,8.85,27.45,36.31,63.69
Texas,TX,Caldwell,48055.0,"Caldwell County, Texas",15741,10.48,44.76,55.24,44.76
Texas,TX,Calhoun,48057.0,"Calhoun County, Texas",8398,9.91,20.29,30.2,69.8
Texas,TX,Callahan,48059.0,"Callahan County, Texas",5237,10.1,30.46,40.56,59.44
Texas,TX,Cameron,48061.0,"Cameron County, Texas",143033,22.37,29.92,52.29,47.71
Texas,TX,Camp,48063.0,"Camp County, Texas",4677,21.25,28.31,49.56,50.44
Texas,TX,Carson,48065.0,"Carson County, Texas",2302,6.43,25.37,31.8,68.2
Texas,TX,Cass,48067.0,"Cass County, Texas",11775,18.64,28.57,47.21,52.79
Texas,TX,Castro,48069.0,"Castro County, Texas",2427,19.04,27.11,46.15,53.85
Texas,TX,Chambers,48071.0,"Chambers County, Texas",16558,13.04,16.05,29.09,70.91
Texas,TX,Cherokee,48073.0,"Cherokee County, Texas",18085,17.53,30.06,47.6,52.4
Texas,TX,Childress,48075.0,"Childress County, Texas",2174,11.55,30.08,41.63,58.37
Texas,TX,Clay,48077.0,"Clay County, Texas",4227,11.92,23.02,34.94,65.06
Texas,TX,Cochran,48079.0,"Cochran County, Texas",949,26.24,35.62,61.85,38.15
Texas,TX,Coke,48081.0,"Coke County, Texas",1489,16.19,32.77,48.96,51.04
Texas,TX,Coleman,48083.0,"Coleman County, Texas",3230,13.99,32.97,46.97,53.03
Texas,TX,Collin,48085.0,"Collin County, Texas",431746,6.83,24.33,31.17,68.83
Texas,TX,Collingsworth,48087.0,"Collingsworth County, Texas",947,21.75,22.28,44.03,55.97
